1 - XLS Date No,2 - YR Day No,3 - Year,4 - Month,5 - Day,6 - Week Day (1=Monday),7 - Sid HR,8 - Sid Min,9 - Sid Sec,10 - Sun Deg,11 - Sun Min,12 - Sun Sec,13 - Sun Sign,14 - Moon Deg,15 - Moon Min,16 - Moon Sign,17 - Mercury Deg,18 - Mercury Min,19 - Mercury Sign,20 - Mercury D/R (1/0),21 - Venus Deg,22 - Venus Min,23 - Venus Sign,24 - Venus D/R (1/0),25 - Mars Deg,26 - Mars Min,27 - Mars Sign,28 - Mars D/R (1/0),29 - Jupiter Deg,30 - Jupiter Min,31 - Jupiter Sign,32 - Jupiter D/R (1/0),33 - Saturn Deg,34 - Saturn Min,35 - Saturn Sign,36 - Saturn D/R (1/0),37 - Uranus Deg,38 - Uranus Min,39 - Uranus Sign,40 - Uranus D/R (1/0),41 - Neptune Deg,42 - Neptune Min,43 - Neptune Sign,44 - Neptune D/R (1/0),45 - Pluto Deg,46 - Pluto Min,47 - Pluto Sign,48 - Pluto D/R (1/0),49 - True Node Deg,50 - True Node Min,51 - True Node Sign,52 - True Node D/R (1/0),53 - Moon s Node Deg,54 - Moon s Node Min,55 - Moon s Node Sign,56 - Moon s Node D/R (1/0),57 - Lilith Deg,58 - Lilith Min,59 - Lilith Sign,60 - Lilith D/R (1/0),61 - Chiron Deg,62 - Chiron Min,63 - Chiron Sign,64 - Chiron D/R (1/0)
47483,365,2029,12,31,1,6,38,51,9,34,58,j,13,52,h,10,49,j,1,20,5,j,1,13,55,k,0,20,24,h,0,18,26,b,1,15,36,c,1,8,22,a,0,9,8,k,0,25,29,i,0,24,52,i,1,14,4,b,0,8,3,b,1
47484,1,2030,1,1,2,6,42,47,10,36,9,j,28,25,h,9,27,j,1,19,33,j,1,14,42,k,0,20,34,h,0,18,24,b,1,15,33,c,1,8,23,a,0,9,10,k,0,25,31,i,0,24,49,i,1,14,11,b,0,8,2,b,1
47485,2,2030,1,2,3,6,46,44,11,37,19,j,13,3,i,8,7,j,1,18,59,j,1,15,29,k,0,20,45,h,0,18,22,b,1,15,31,c,1,8,23,a,0,9,12,k,0,25,32,i,0,24,45,i,1,14,17,b,0,8,1,b,1
47486,3,2030,1,3,4,6,50,40,12,38,30,j,27,38,i,6,49,j,1,18,25,j,1,16,16,k,0,20,55,h,0,18,20,b,1,15,29,c,1,8,24,a,0,9,13,k,0,25,32,i,1,24,42,i,1,14,24,b,0,8,0,b,1
47487,4,2030,1,4,5,6,54,37,13,39,41,j,12,6,j,5,37,j,1,17,49,j,1,17,4,k,0,21,6,h,0,18,18,b,1,15,27,c,1,8,24,a,0,9,15,k,0,25,31,i,1,24,39,i,1,14,31,b,0,7,59,b,1
47488,5,2030,1,5,6,6,58,33,14,40,52,j,26,19,j,4,33,j,1,17,13,j,1,17,51,k,0,21,16,h,0,18,17,b,1,15,25,c,1,8,25,a,0,9,17,k,0,25,30,i,1,24,36,i,1,14,37,b,0,7,58,b,1
47489,6,2030,1,6,7,7,2,30,15,42,2,j,10,14,k,3,37,j,1,16,36,j,1,18,38,k,0,21,26,h,0,18,15,b,1,15,23,c,1,8,25,a,0,9,18,k,0,25,27,i,1,24,33,i,1,14,44,b,0,7,57,b,1
47490,7,2030,1,7,1,7,6,26,16,43,13,j,23,47,k,2,51,j,1,16,0,j,1,19,25,k,0,21,36,h,0,18,14,b,1,15,21,c,1,8,26,a,0,9,20,k,0,25,24,i,1,24,29,i,1,14,51,b,0,7,57,b,1
47491,8,2030,1,8,2,7,10,23,17,44,23,j,6,56,l,2,15,j,1,15,23,j,1,20,13,k,0,21,46,h,0,18,12,b,1,15,18,c,1,8,27,a,0,9,22,k,0,25,20,i,1,24,26,i,1,14,57,b,0,7,56,b,1
47492,9,2030,1,9,3,7,14,20,18,45,32,j,19,43,l,1,49,j,1,14,47,j,1,21,0,k,0,21,56,h,0,18,11,b,1,15,16,c,1,8,27,a,0,9,24,k,0,25,17,i,1,24,23,i,1,15,4,b,0,7,56,b,1
